    id      t_sec       phi_rad    lambda_rad           h_m       psi_rad     theta_rad        xi_radsaved (Y/N)
   151    +15.100  +0.752386067  -0.130381291  +1290.284551    +0.6954406    -0.0199391    +0.0021695    +1
   152    +15.200  +0.752386429  -0.130380877  +1290.291238    +0.6956833    -0.0201709    +0.0024127    +1
   153    +15.300  +0.752386792  -0.130380462  +1290.298348    +0.6959879    -0.0201186    +0.0028082    +1
   154    +15.400  +0.752387155  -0.130380048  +1290.305621    +0.6962937    -0.0198215    +0.0032279    +1
   155    +15.500  +0.752387517  -0.130379633  +1290.313329    +0.6965199    -0.0197701    +0.0036402    +1
   156    +15.600  +0.752387880  -0.130379219  +1290.321611    +0.6965592    -0.0199885    +0.0040125    +1
   157    +15.700  +0.752388243  -0.130378804  +1290.330387    +0.6964803    -0.0199118    +0.0042527    +1
   158    +15.800  +0.752388606  -0.130378389  +1290.339761    +0.6963182    -0.0193176    +0.0044298    +1
   159    +15.900  +0.752388969  -0.130377975  +1290.350186    +0.6960336    -0.0186715    +0.0045719    +1
   160    +16.000  +0.752389331  -0.130377560  +1290.362160    +0.6957503    -0.0187047    +0.0046027    +1
   161    +16.100  +0.752389694  -0.130377145  +1290.375931    +0.6956722    -0.0195076    +0.0045085    +1
   162    +16.200  +0.752390057  -0.130376730  +1290.391122    +0.6958141    -0.0206130    +0.0043813    +1
   163    +16.300  +0.752390420  -0.130376315  +1290.406424    +0.6960129    -0.0212487    +0.0043027    +1
   164    +16.400  +0.752390783  -0.130375900  +1290.420650    +0.6961244    -0.0210443    +0.0042426    +1
   165    +16.500  +0.752391146  -0.130375485  +1290.433833    +0.6961145    -0.0206244    +0.0041199    +1
   166    +16.600  +0.752391509  -0.130375070  +1290.446249    +0.6960045    -0.0206617    +0.0039270    +1
   167    +16.700  +0.752391873  -0.130374655  +1290.457697    +0.6958989    -0.0212695    +0.0036690    +1
   168    +16.800  +0.752392236  -0.130374239  +1290.467665    +0.6958460    -0.0220061    +0.0034229    +1
   169    +16.900  +0.752392599  -0.130373824  +1290.475503    +0.6957245    -0.0222084    +0.0032926    +1
   170    +17.000  +0.752392962  -0.130373409  +1290.481177    +0.6954755    -0.0220517    +0.0032079    +1
   171    +17.100  +0.752393326  -0.130372993  +1290.485516    +0.6952163    -0.0221489    +0.0030094    +1
   172    +17.200  +0.752393689  -0.130372578  +1290.489292    +0.6950529    -0.0227183    +0.0026745    +1
   173    +17.300  +0.752394053  -0.130372162  +1290.492584    +0.6949579    -0.0234975    +0.0023444    +1
   174    +17.400  +0.752394416  -0.130371747  +1290.494739    +0.6950070    -0.0242058    +0.0020052    +1
   175    +17.500  +0.752394780  -0.130371331  +1290.495186    +0.6953090    -0.0248829    +0.0016710    +1
   176    +17.600  +0.752395144  -0.130370916  +1290.494190    +0.6958124    -0.0260656    +0.0014557    +1
   177    +17.700  +0.752395508  -0.130370500  +1290.491750    +0.6963370    -0.0275030    +0.0014147    +1
   178    +17.800  +0.752395872  -0.130370084  +1290.487217    +0.6966965    -0.0283359    +0.0015361    +1
   179    +17.900  +0.752396236  -0.130369668  +1290.480528    +0.6968025    -0.0285492    +0.0017163    +1
   180    +18.000  +0.752396601  -0.130369252  +1290.472232    +0.6965451    -0.0287527    +0.0018757    +1
   181    +18.100  +0.752396965  -0.130368835  +1290.462459    +0.6959037    -0.0290392    +0.0019596    +1
   182    +18.200  +0.752397330  -0.130368419  +1290.451310    +0.6951331    -0.0292627    +0.0019917    +1
   183    +18.300  +0.752397695  -0.130368002  +1290.439292    +0.6945793    -0.0294943    +0.0019677    +1
   184    +18.400  +0.752398060  -0.130367585  +1290.426787    +0.6944138    -0.0298663    +0.0020098    +1
   185    +18.500  +0.752398426  -0.130367168  +1290.413673    +0.6945787    -0.0303857    +0.0022748    +1
   186    +18.600  +0.752398792  -0.130366751  +1290.399890    +0.6948820    -0.0310756    +0.0027934    +1
   187    +18.700  +0.752399157  -0.130366334  +1290.385286    +0.6952037    -0.0316081    +0.0034603    +1
   188    +18.800  +0.752399523  -0.130365916  +1290.369625    +0.6954667    -0.0313813    +0.0041596    +1
   189    +18.900  +0.752399890  -0.130365499  +1290.353218    +0.6955811    -0.0303819    +0.0048465    +1
   190    +19.000  +0.752400256  -0.130365081  +1290.336978    +0.6954802    -0.0294499    +0.0054583    +1
   191    +19.100  +0.752400622  -0.130364663  +1290.321730    +0.6951138    -0.0293748    +0.0059075    +1
   192    +19.200  +0.752400989  -0.130364244  +1290.307481    +0.6944858    -0.0302204    +0.0061260    +1
   193    +19.300  +0.752401355  -0.130363826  +1290.293359    +0.6937808    -0.0310537    +0.0060869    +1
   194    +19.400  +0.752401722  -0.130363408  +1290.278547    +0.6932168    -0.0308945    +0.0058733    +1
   195    +19.500  +0.752402089  -0.130362989  +1290.263215    +0.6928277    -0.0300227    +0.0056794    +1
   196    +19.600  +0.752402456  -0.130362570  +1290.247893    +0.6926083    -0.0290337    +0.0055513    +1
   197    +19.700  +0.752402822  -0.130362151  +1290.233240    +0.6926378    -0.0282479    +0.0054414    +1
   198    +19.800  +0.752403189  -0.130361732  +1290.219720    +0.6929780    -0.0276561    +0.0053944    +1
   199    +19.900  +0.752403556  -0.130361313  +1290.207341    +0.6935526    -0.0270158    +0.0054869    +1
   200    +20.000  +0.752403923  -0.130360894  +1290.196205    +0.6941925    -0.0265067    +0.0057189    +1
   201    +20.100  +0.752404290  -0.130360476  +1290.186408    +0.6946977    -0.0262531    +0.0059672    +1
